customer_text,intent,predicted_intent,confidence
@AppleSupport Screen typing on its own either a malfunction or i have ghost,performance_crash,performance_crash,0.5670540887410932
@AppleSupport iOS 11.1.1 version.. and restarting the phone or stocks app doesn't help with any changes,performance_crash,performance_crash,0.8829976910488331
"@AppleSupport No, I only get this issue when I receive messages. I’m using the iPhone 8 Plus",performance_crash,messages_imessage,0.3421889228061387
"@AppleSupport No. It just flashes at the top of the screen like it’s going to play, but nothing happens.",device_settings_features,performance_crash,0.4837370187588575
"@AppleSupport It reads ""watchOS 3.2.2 - Your software is up to date.""",apps_app_store,performance_crash,0.7208316197877696
"@AppleSupport Hi, thanks! I’m running 11.1.1",icloud_photos,performance_crash,0.4794221226803547
"@460619 @AppleSupport Guys that’s true, i did update to ios11.1 on my 7+ &amp; the battery is the worst 🤨🤯 What’s going on",messages_imessage,ios_update,0.6572156079090177
"@AppleSupport o IOS11 tá dando problema com o Wi-Fi e não conecta, em todos os Androids aqui de casa funciona internet, no meu cel não 🙄",purchases_billing,device_settings_features,0.8391105354440231
@726036 @115858 @AppleSupport My iPhone 7+ runs out of charge so quick it’s unbelievable,battery_charging,performance_crash,0.6743231455148917
@AppleSupport,other_unclear,performance_crash,0.4261144894983541
"@AppleSupport Yes, but do Dolby Vision films *also* support my HDR10 TV, or are the formats mutually exclusive?",other_unclear,device_settings_features,0.3248002191733945
@AppleSupport I found a workaround by just manually selecting it in the predictive text. Is it going to be fixed soon?,performance_crash,performance_crash,0.36766751904221645
"@AppleSupport Gee, where do I start? Can no longer use the letter “I️”, the iMessage is supper laggy, phone randomly freezes. Mind you, these issues never happened before ios11",performance_crash,performance_crash,0.5517026953843528
@AppleSupport Ios ver 11.1.2. I tried with booth wifi and cellular data. All aps cannot be updated and downloaded.,apps_app_store,device_settings_features,0.6099827894155082
@AppleSupport I stopped using my Apple Music and now all my iTunes music purchases are gone! From when I the iPhone 3g. Where is my music!,purchases_billing,purchases_billing,0.7497998913762209
@AppleSupport any idea how to fix this?,other_unclear,performance_crash,0.4078577653082172
@AppleSupport And I don’t have the Mac on me at the moment.,other_unclear,performance_crash,0.4163067925954027
@115858 @AppleSupport EYE can’t type the letter that comes after comes after “H” w/o looking like I’m speaking in codes. I️ I️ I️ I️ I️,icloud_photos,performance_crash,0.4862323772232863
@AppleSupport hi. Can you help me fix my activity ring of my Apple Watch?,sim_cellular_network,purchases_billing,0.20785074218997532
"@AppleSupport I received many emails like this one, how to stop these spammers!! 🤔",apple_id_account,device_settings_features,0.3083046067681411
@AppleSupport Thank you for the speedy reply. But it still occurs sometimes. That is better than every time.,other_unclear,performance_crash,0.5991533193432139
Such a wonderful experience with sorting out the issue I had with logging in to my iCloud through Safari. Thank you @AppleSupport !,apple_id_account,icloud_photos,0.4586983034908957
@AppleSupport Yes still getting the same pop me to solve this.,other_unclear,performance_crash,0.3559586909319231
"Hey @AppleSupport how do i disable drag and drop features. I will never use it, it always starts when i rest my finger on something on the screen. I HATE THAT.",performance_crash,performance_crash,0.42981278336933537
@AppleSupport what the hell is this? My phone has been doing this every 5 minutes since I bought it almost a month ago. I’ve only bought more iCloud storage &amp; set up Apple Pay.. and both of those are working fine.,other_unclear,icloud_photos,0.4920889608513527
@AppleSupport just got an iPhone X. Now whenever I dictate a reply using CarPlay it sends the message to the wrong person! So awkward.,performance_crash,messages_imessage,0.31958635940776126
@AppleSupport @118936 @23150 @160959 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ please help I️ I️ I️ I️ I️,battery_charging,purchases_billing,0.5473814984781976
"Apple, ima need y’all to get your shit together with this letter ‘I’ problem @AppleSupport",battery_charging,performance_crash,0.5825451847000277
@AppleSupport anytime I get a notification my Spotify music stops playing. Even if I'm in the app... #iOS11 still sucks😒,sim_cellular_network,performance_crash,0.4020783928497723
@579186 @AppleSupport Yeah the alarm alerts have gone totally bonkers on my phone too.,ios_update,device_settings_features,0.8317821188379755
"@AppleSupport MBP mid2012 9,2 (i7 upgraded to 16GB ram &amp; SSD)",ios_update,performance_crash,0.3555889498522396
"@AppleSupport tell me, am I meant to be using my passcode so much with Face ID I feel like I’ve gone back in time...",ios_update,performance_crash,0.2713302813084091
"@AppleSupport Thanks for the reply, I do appreciate it, but what irks me is the fact that next reboot, it’s back to the same ‘default’ photo. Why cant we just leave things that work fine alone..?",performance_crash,performance_crash,0.41613523091856075
iOS 11.0.3 was supposed to fix touch screen problems and it’s made my perfectly ok iPhone device have problems @AppleSupport,ios_update,performance_crash,0.704509990269303
Does @AppleSupport no longer sell the lightning-ethernet adapter?,device_settings_features,device_settings_features,0.5561912457019014
IM MAD @AppleSupport why do y’all keep replacing my I️ with this other stuff?? Please FIX IT ASAP,device_settings_features,performance_crash,0.4179510089200395
@AppleSupport I just sent a dm about an accident on iTunes I need help removing the payment please.,purchases_billing,purchases_billing,0.7972338328368889
@AppleSupport iPhone 6s and yes version 11.0.2.,ios_update,performance_crash,0.7355256833654318
"Hey, @AppleSupport, what are you doing about the fact the update made battery life suck?",battery_charging,battery_charging,0.8899986543180933
@AppleSupport Thank you. iPod 6th gen iOS 11.0,ios_update,performance_crash,0.34861245640917476
@AppleSupport I was charged for a subscription that I ended and y’all owe me $15.,purchases_billing,purchases_billing,0.8740483536808992
@AppleSupport Is there a function I can change on my iPhone X so my phone automatically goes full screen when I watch a video it’s so annoying having to tap something to get full screen all the time,ios_update,performance_crash,0.5000417281272935
Why I can’t download any apps from @118936?@AppleSupport,apps_app_store,apps_app_store,0.7981808225035064
@AppleSupport This is what happens. I’ve only seen it on Facebook,ios_update,device_settings_features,0.3847323067651426
@AppleSupport 11.0.2,ios_update,performance_crash,0.676593462356694
@AppleSupport when y’all gone fix this glitch,performance_crash,performance_crash,0.9711149637152684
@AppleSupport if I trade in my iPad at the apple store tomorrow will thy give me credit I can use towards an Apple Watch?,ios_update,purchases_billing,0.36299940849821755
"@AppleSupport No, this happens no matter what app I’m using and even when I’m not touching the phone. I have turned the phone on and off but the issue continues.",ios_update,device_settings_features,0.42504928739257175
@AppleSupport My tasks/ windows in the background are always shut in order to prevent useless battery usage. Not ready to buy a new iPhone either 🤨,ios_update,battery_charging,0.4273610443206606
hey @115858 @AppleSupport since when is my charger supposed to catch on fire and melt????,battery_charging,device_settings_features,0.41657186550380915
"@406735 @AppleSupport YES, I HATE IT AND I'M TYPING IN ALL CAPS BECAUSE THIS PRESUMABLY IS A VERY SIMPLE THING TO FIX @APPLESUPPORT @115858 @80933",battery_charging,performance_crash,0.6697347103000487
".@AppleSupport Headphone Jack is no longer recognizing headphones with iOS 11.1. Have tried multiple pairs, any solution?",battery_charging,device_settings_features,0.42072470810969254
"@AppleSupport glitch in iOS 11.0.3 Never happened before. The music seek bar doesn’t work nor does it update per second. Tried closing and opening the app &amp; restarted as well, doesn’t work. Please fix",battery_charging,performance_crash,0.7744305609443326
"You know @AppleSupport this is ridiculous, for weeks I️ haven’t had to deal with the glitch changing the letter “I️” but now suddenly I️ do out of nowhere? Is this some sort of joke?",performance_crash,performance_crash,0.7363403205200032
@115858 @AppleSupport When y’all gone fix these bugs 🤦🏾‍♀️,performance_crash,performance_crash,0.6604106821900616
"@AppleSupport @341674 I have the same problem, I have to open the Spotify or Music App to manage musics, I can’t do it by the Control Center anymore",device_settings_features,device_settings_features,0.7225235381692174
